acrobat	[ʹækrəbæt]	акробат
afraid	[əʹfreıd]	испуганный,напуганный
Africa	[ʹæfrıkə]	Африка
afternoon	[͵ɑ:ftəʹnu:n]	время после полудня
air	[eə]	воздух
America	[əʹmerıkə]	Америка
and	[ænd]	и (союз)
animal	[ʹænım(ə)l]	животное
answer	[ʹɑ:nsə]	отвечать
ant	[ænt]	муравей
apple	[ʹæp(ə)l]	яблоко
April	[ʹeıprəl]	апрель
arm	[ɑ:m]	рука (от плеча до кисти)
armbands	[ʹɑ:mbændʹs]	нарукавники для плавания
Art	[ɑ:t]	изобразительное искусство
artist	[ʹɑ:tıst]	художник
artistic	[ɑ:ʹtıstık]	творческий;художественный
ask	[ɑ:sk]	спрашивать
August	[ʹɔ:gəst]	август
Australia	[ɔ:ʹstreılıə]	Австралия
autumn	[ʹɔ:təm]	осень
away	[əʹweı]	далеко; прочь 
carry away	[ʹkærı] [əʹweı]	уносить,унести; 
run away	[rʌn] [əʹweı]	убегать
baboon	[bəʹbu:n]	павиан
baby	[ʹbeıbı]	ребёнок; детёныш (животного)
back	[bæk]	спина
bake	[beık]	печь, выпекать
ball	[bɔ:l]	мяч; клубок
barking	[ʹbɑ:kıŋ]	лай
basket	[ʹbɑ:skıt]	корзина
bat	[bæt]	летучая мышь
bath	[bɑ:θ]	ванна
baton	[ʹbætɒn]	булава
beach	[bi:tʃ]	пляж
bear	[beə]	медведь
beautiful	[ʹbju:tıf(ə)l]	красивый
bedroom	[ʹbedru(:)m]	спальня
bee	[bi:]	пчела
behind	[bıʹhaınd]	3a, сзади
belt	[belt]	ремень
big	[bıg]	большой
Big Ben	[bıg] [ben]	часовая башня Вестминстерского дворца в Лондоне
bike	[baık]	велосипед
bird	[bɜ:d]	птица
biscuit	[ʹbıskıt]	печенье
black	[blæk]	чёрный
blowhole	[ʹbləʋhəʋl]	дыхало(отверстие для дыхания y кита)
blue	[blu:]	синий; голубой
boat	[bəʋt]	лодка
boil	[bɔıl]	кипятить
boot	[bu:t]	ботинок, сапог
breakfast	[ʹbrekfəst]	завтрак
brother	[ʹbrʌðə]	õpaT
brown	[braʋn]	коричневый
bucket	[ʹbʌkıt]	ведро
bull	[bʋl]	бык
busy	[ʹbızı]	занятой
cabbage	[ʹkæbıdʒ]	капуста
cafe	['kæfei]	кафе, кофейня
cake	[keık]	пирожное, торт
calf	[kɑ:f]	телёнок
camel	[ʹkæm(ə)l]	верблюд
Canada	[ʹkænədə]	Канада
carry	[ʹkærı]	нести, относить; везти, отвозить
cart	[kɑ:t]	повозка, телега
castle	[ʹkɑ:s(ə)l]	замок
catch	[kætʃ]	ловить, поймать
chair	[tʃeə]	стул
cheer	[tʃıə]	ободрять, подбадривать
cheese	[tʃi:z]	сыр
chew	[tʃu:]	жевать
chicken	[ʹtʃıkın]	курица, цыплёнок (еда)
classroom	[ʹklɑ:srʋm]	класс, классная комната
claw	[klɔ:]	клешня
clean	[kli:n]	чистить
clever	[ʹklevə]	умный
clock tower	[klɒk] [ʹtaʋə]	часовая башня
close	[kləʋs]	близко расположенный
clothes	[kləʋ(ð)z]	одежда
cloud	[klaʋd]	облако
clown	[klaʋn]	клоун
coach	[kəʋtʃ]	автобус дальнего следования
coat	[kəʋt]	пальто
coin	[kɔın]	монета
cold	[kəʋld]	холодный
collar	[ʹkɒlə]	воротник
colour	[ʹkʌlə]	цвет; краска
come	[kʌm]	приходить; идти
come on	[kʌm] [ɒn]	Идём!,Пошли!
competition	[͵kɒmpıʹtıʃ(ə)n]	соревнование; конкурс
computer	[kəmʹpju:tə]	компьютер
cotton	[ʹkɒtn]	хлопок
count	[kaʋnt]	считать
cow	[kaʋ]	корова
cowboy	[ʹkaʋbɔı]	ковбой
crab	[kræb]	краб
crawl	[krɔ:l]	ползать
cream	[kri:m]	крем
crew	[kru:]	экипаж (судна, самолёта)
crowd	[kraʋd]	толпа
cucumber	[ʹkju:kʌmbə]	огурец
cut	[kʌt]	резать, разрезать
dad	[dæd]	папа
dairy	[ʹdeərı]	молочные продукты
dance	[dɑ:ns]	танцевать
day	[deı]	день
December	[dıʹsembə]	декабрь
den	[den]	берлога, логово
desert	[ʹdezət]	пустыня
