acrobat	[ʹækrəbæt]	акробат
afraid	[əʹfreıd]	испуганный,напуганный
Africa	[ʹæfrıkə]	Африка
afternoon	[͵ɑ:ftəʹnu:n]	время после полудня
air	[eə]	воздух
America	[əʹmerıkə]	Америка
and	[ænd]	и (союз)
animal	[ʹænım(ə)l]	животное
answer	[ʹɑ:nsə]	отвечать
ant	[ænt]	муравей
apple	[ʹæp(ə)l]	яблоко
April	[ʹeıprəl]	апрель
arm	[ɑ:m]	рука (от плеча до кисти)
armbands	[ʹɑ:mbændʹs]	нарукавники для плавания
Art	[ɑ:t]	изобразительное искусство
artist	[ʹɑ:tıst]	художник
artistic	[ɑ:ʹtıstık]	творческий;художественный
ask	[ɑ:sk]	спрашивать
August	[ʹɔ:gəst]	август
Australia	[ɔ:ʹstreılıə]	Австралия
autumn	[ʹɔ:təm]	осень
away	[əʹweı]	далеко; прочь 
