baboon	[bəʹbu:n]	павиан
baby	[ʹbeıbı]	ребёнок; детёныш (животного)
back	[bæk]	спина
bake	[beık]	печь, выпекать
ball	[bɔ:l]	мяч; клубок
barking	[ʹbɑ:kıŋ]	лай
basket	[ʹbɑ:skıt]	корзина
bat	[bæt]	летучая мышь
bath	[bɑ:θ]	ванна
baton	[ʹbætɒn]	булава
beach	[bi:tʃ]	пляж
bear	[beə]	медведь
beautiful	[ʹbju:tıf(ə)l]	красивый
bedroom	[ʹbedru(:)m]	спальня
bee	[bi:]	пчела
behind	[bıʹhaınd]	3a, сзади
belt	[belt]	ремень
big	[bıg]	большой
Big Ben	[bıg] [ben]	часовая башня Вестминстерского дворца в Лондоне
bike	[baık]	велосипед
bird	[bɜ:d]	птица
biscuit	[ʹbıskıt]	печенье
black	[blæk]	чёрный
blowhole	[ʹbləʋhəʋl]	дыхало(отверстие для дыхания y кита)
blue	[blu:]	синий; голубой
boat	[bəʋt]	лодка
boil	[bɔıl]	кипятить
boot	[bu:t]	ботинок, сапог
breakfast	[ʹbrekfəst]	завтрак
brother	[ʹbrʌðə]	õpaT
brown	[braʋn]	коричневый
bucket	[ʹbʌkıt]	ведро
bull	[bʋl]	бык
busy	[ʹbızı]	занятой
