cabbage	[ʹkæbıdʒ]	капуста
cafe	['kæfei]	кафе, кофейня
cake	[keık]	пирожное, торт
calf	[kɑ:f]	телёнок
camel	[ʹkæm(ə)l]	верблюд
Canada	[ʹkænədə]	Канада
carry	[ʹkærı]	нести, относить; везти, отвозить
carry away	[ʹkærı] [əʹweı]	уносить,унести; 
cart	[kɑ:t]	повозка, телега
castle	[ʹkɑ:s(ə)l]	замок
catch	[kætʃ]	ловить, поймать
chair	[tʃeə]	стул
cheer	[tʃıə]	ободрять, подбадривать
cheese	[tʃi:z]	сыр
chew	[tʃu:]	жевать
chicken	[ʹtʃıkın]	курица, цыплёнок (еда)
classroom	[ʹklɑ:srʋm]	класс, классная комната
claw	[klɔ:]	клешня
clean	[kli:n]	чистить
clever	[ʹklevə]	умный
clock tower	[klɒk] [ʹtaʋə]	часовая башня
close	[kləʋs]	близко расположенный
clothes	[kləʋ(ð)z]	одежда
cloud	[klaʋd]	облако
clown	[klaʋn]	клоун
coach	[kəʋtʃ]	автобус дальнего следования
coat	[kəʋt]	пальто
coin	[kɔın]	монета
cold	[kəʋld]	холодный
collar	[ʹkɒlə]	воротник
colour	[ʹkʌlə]	цвет; краска
come	[kʌm]	приходить; идти
come on	[kʌm] [ɒn]	Идём!,Пошли!
competition	[͵kɒmpıʹtıʃ(ə)n]	соревнование; конкурс
computer	[kəmʹpju:tə]	компьютер
cotton	[ʹkɒtn]	хлопок
count	[kaʋnt]	считать
cow	[kaʋ]	корова
cowboy	[ʹkaʋbɔı]	ковбой
crab	[kræb]	краб
crawl	[krɔ:l]	ползать
cream	[kri:m]	крем
crew	[kru:]	экипаж (судна, самолёта)
crowd	[kraʋd]	толпа
cucumber	[ʹkju:kʌmbə]	огурец
cut	[kʌt]	резать, разрезать
