fair	[feə]	честный,справедливый
fall	[fɔ:l]	падать
family	[ʹfæm(ə)lı]	семья
far	[fɑ:]	далёкий; далеко
farmer	[ʹfɑ:mə]	фермер
fast	[fɑ:st]	быстрый; быстро
father	[ʹfɑ:ðə]	отец
favourite	[ʹfeıv(ə)rıt]	любимый
February	[ʹfebrʋ(ə)rı]	февраль
fifteen	[fıfʹti:n]	пятнадцать
fight	[faıt]	драться, сражаться
film star	[fılm] [stɑ:]	кинозвезда
fin	[fın]	плавник
fine	[faın]	хороший, прекрасный, превосходный
finger	[ʹfıŋgə]	палец (руки)
first	[fɜ:st]	первый (по счёту)
fishing net	[ʹfıʃıŋ] [net]	сачок для лова рыбы
fit	[fıt]	быть впору, подходить
five	[faıv]	пять
flipper	[ʹflıpə]	ласт(у морских животных)
flippers	[ʹflıpə's]	ласты 
flower	[ʹflaʋə]	цветок
foot	[fʋt]	ступня, нога
forest	[ʹfɒrıst]	лес
fork	[fɔ:k]	вилка
fountain	[ʹfaʋntın]	фонтан
four	[fɔ:]	четыре
fourteen	[͵fɔ:ʹti:n]	четырнадцать
Friday	[ʹfraıdı]	пятница
friend	[frend]	друг, подруга
frog	[frɒg]	лягушка
fruit	[fru:t]	фрукт, фрукты
fun	[fʌn]	веселье, забава
funny	[ʹfʌnı]	забавный, смешной
fur	[fɜ:]	мех; меховой
further	[ʹfɜ:ðə]	дальше
