lake	[leık]	озеро
last	[lɑ:st]	последний
laugh	[lɑ:f]	смеяться
launch	[lɔ:ntʃ]	запуск (ракеты)
lawyer	[ʹlɔ:jə]	юрист; адвокат
leaf	[li:f]	лист (растения)
learn	[lɜ:n]	учить (что-либо)] учиться
leather	[ʹleðə]	кожа
leg	[leg]	нога (от бедра до ступни)
lie	[laı]	лежать
light	[laıt]	зажигать
like	[laık]	нравиться, любить
lilo	[ʹlaıləʋ]	надувной матрас
lion	[ʹlaıən]	лев
listen	[ʹlıs(ə)n]	слушать
little	[ʹlıtl]	маленький
live	[lıv]	жить, обитать
London	[ʹlʌndən]	Лондон
long	[lɒŋ]	длинный
look	[lʋk]	смотреть, глядеть
look for	[lʋk] [fɔ:]	искать
lots (of)	[lɒt's] ([ɒv])	много
lovely	[ʹlʌvlı]	красивый; милый; чудный; прелестный
lucky	[ʹlʌkı]	удачливый
lunch	[lʌntʃ]	обед
