magic	[ʹmædʒık]	волшебный
make	[meık]	делать, изготавливать
man	[mæn]	человек, мужчина
Manhattan	[mænʹhætn]	Манхэттен (остров -район Нью-Йорка)
many	[ʹmenı]	много
March	[mɑ:tʃ]	март
Mars	[mɑ:z]	Mapc
master	[ʹmɑ:stə]	хозяин; господин
Maths	[mæθs]	математика
May	[meı]	май
meal	[mi:l]	еда
meat	[mi:t]	мясо
menu	[ʹmenju:]	меню
Mercury	[ʹmɜ:kjʋrı]	Меркурий
milk	[mılk]	молоко
minus	[ʹmaınəs]	минус
minute	[ʹmınıt]	минута
moment	[ʹməʋmənt]	момент, минута
Monday	[ʹmʌndı]	понедельник
monkey	[ʹmʌŋkı]	обезьяна
month	[mʌnθ]	месяц
morning	[ʹmɔ:nıŋ]	утро
Moscow	[ʹmɒskəʋ]	Москва
mother	[ʹmʌðə]	мать
mountain	[ʹmaʋntın]	гора
mouse	[maʋs]	мышь
mouth	[maʋθ]	рот
multiplied by	[ʹmʌltıplaıd] [baı]	умноженный на
mum	[mʌm]	мама
musician	[mju:ʹzıʃ(ə)n]	музыкант
my	[maı]	мой, моя, моё, мои
