волшебный	[ʹmædʒık]	magic
делать, изготавливать	[meık]	make
человек, мужчина	[mæn]	man
Манхэттен (остров -район Нью-Йорка)	[mænʹhætn]	Manhattan
много	[ʹmenı]	many
март	[mɑ:tʃ]	March
Mapc	[mɑ:z]	Mars
хозяин; господин	[ʹmɑ:stə]	master
математика	[mæθs]	Maths
май	[meı]	May
еда	[mi:l]	meal
мясо	[mi:t]	meat
меню	[ʹmenju:]	menu
Меркурий	[ʹmɜ:kjʋrı]	Mercury
молоко	[mılk]	milk
минус	[ʹmaınəs]	minus
минута	[ʹmınıt]	minute
момент, минута	[ʹməʋmənt]	moment
понедельник	[ʹmʌndı]	Monday
обезьяна	[ʹmʌŋkı]	monkey
месяц	[mʌnθ]	month
утро	[ʹmɔ:nıŋ]	morning
Москва	[ʹmɒskəʋ]	Moscow
мать	[ʹmʌðə]	mother
гора	[ʹmaʋntın]	mountain
мышь	[maʋs]	mouse
рот	[maʋθ]	mouth
умноженный на	[ʹmʌltıplaıd] [baı]	multiplied by
мама	[mʌm]	mum
музыкант	[mju:ʹzıʃ(ə)n]	musician
мой, моя, моё, мои	[maı]	my
