paint	[peınt]	красить, раскрашивать
pan	[pæn]	сковорода
parents	[ʹpe(ə)rənt's]	родители
park	[pɑ:k]	парк, сквер
parrot	[ʹpærət]	попугай
party	[ʹpɑ:tı]	вечеринка
peach	[pi:tʃ]	персик
pear	[peə]	груша
pen	[pen]	ручка (для письма)
pence	[pens]	пенни, пенс (британская разменная монета)
pencil	[ʹpens(ə)l]	карандаш
penguin	[ʹpeŋgwın]	пингвин
people	[ʹpi:p(ə)l]	люди
perch	[pɜ:tʃ]	жёрдочка
pet	[pet]	любимое домашнее животное
phone	[fəʋn]	телефон
photograph	[ʹfəʋtəgrɑ:f]	фотография
piano	[pıʹænəʋ]	фортепьяно
picnic	[ʹpıknık]	пикник
picture	[ʹpıktʃə]	картина; рисунок
pie	[paı]	пирог
pilot	[ʹpaılɒt]	лётчик, пилот
pink	[pıŋk]	розовый
pirate	[ʹpaı(ə)rət]	пират
place	[pleıs]	место
planet	[ʹplænıt]	планета
play	[pleı]	играть
playground	[ʹpleıgraʋnd]	площадка для игр
plum	[plʌm]	слива
plus	[plʌs]	плюс
poem	[ʹpəʋım]	поэма; стихотворение
point	[pɔınt]	указывать
polar bear	[ʹpəʋlə] [beə]	белый медведь
politician	[͵pɒlıʹtıʃ(ə)n]	политик
pool	[pu:l]	лужа
popular	[ʹpɒpjʋlə]	популярный
port	[pɔ:t]	порт
pot	[pɒt]	горшок, кастрюля
present	[ʹprez(ə)nt]	подарок
prize	[praız]	награда, приз
pull	[pʋl]	тянуть, тащить
purple	[ʹpɜ:p(ə)l]	фиолетовый
push	[pʋʃ]	толкать; пихать
put	[pʋt]	класть, ставить
put on	[pʋt] [ɒn]	надевать
pyjamas	[pəʹdʒɑ:məz]	пижама
pyramid	[ʹpırəmıd]	пирамида
