sad	[sæd]	грустный
safe	[seıf]	безопасный
Saint Petersburg	[seınt] Petersburg	Санкт-Петербург
salad	[ʹsæləd]	салат (блюдо)
Saturday	[ʹsætədı]	суббота
Saturn	[ʹsætən]	Сатурн
sausage	[ʹsɒsıdʒ]	колбаса; сосиска
save	[seıv]	спасать
scared	[skeəd]	испуганный
scarf	[skɑ:f]	шарф
school	[sku:l]	школа
screw	[skru:]	винт, шуруп
sea	[si:]	море
seahorse	[ʹsi:hɔ:s]	морской конёк
seal	[si:l]	тюлень
SeaWorld	SeaWorld	Морской мир 
second	[ʹsekənd]	второй (по счёту)
see	[si:]	смотреть; видеть
September	[sepʹtembə]	сентябрь
seven	[ʹsev(ə)n]	семь
seventeen	[͵sev(ə)nʹti:n]	семнадцать
shark	[ʃɑ:k]	акула
she	[ʃi:]	она
sheep	[ʃi:p]	овца; баран
ship	[ʃıp]	корабль
shirt	[ʃɜ:t]	рубашка
shoes	[ʃu:'s]	туфли
shop 	[ʃɒp] 	магазин
short	[ʃɔ:t]	короткий; низкий
shorts	[ʃɔ:ts]	шорты
shot	[ʃɒt]	выстрел
silk	[sılk]	шёлк
sing	[sıŋ]	петь
singer	[ʹsıŋə]	певец, певица
single	[ʹsıŋg(ə)l]	один, единственный
sister	[ʹsıstə]	сестра
sit	[sıt]	сидеть; садиться
six	[sıks]	шесть
sixteen	[͵sıkʹsti:n]	шестнадцать
skiing	[ʹski:ıŋ]	катание на лыжах
skirt	[skɜ:t]	юбка
sky	[skaı]	небо
sleep	[sli:p]	спать
slide	[slaıd]	детская горка
small	[smɔ:l]	маленький
smell	[smel]	нюхать
snake	[sneık]	змея
snowman	[ʹsnəʋmæn]	снеговик, снежная баба
Sochi	[ʹsɔ:tʃı]	Сочи
socks	[sɒk's]	носки
song	[sɒŋ]	песня
Sorry!	[ʹsɒrı]!	Простите!, Извините!
south	[saʋθ]	юг
spade	[speıd]	лопата
spaghetti	[spəʹgetı]	спагетти
special	[ʹspeʃ(ə)l]	особый, специальный
sphinx	[sfıŋks]	сфинкс 
spring	[sprıŋ]	весна
spy	[spaı]	шпион
stair	[steə]	лестница
star	[stɑ:]	звезда
stare	[steə]	пристально глядеть; уставиться
statue	[ʹstætʃu:]	статуя
still	[stıl]	(всё) ещё, по-прежнему
straw	[strɔ:]	солома
stream	[stri:m]	ручей
street	[stri:t]	улица
strong	[strɒŋ]	сильный
summer	[ʹsʌmə]	лето
sun	[sʌn]	солнце
sun hat	[sʌn] [hæt]	шляпа от солнца
Sunday	[ʹsʌndı]	воскресенье
sure	[ʃʋə]	уверенный
swan	[swɒn]	лебедь
sweet	[swi:t]	конфета
swim	[swım]	плавать, плыть
swimmer	[ʹswımə]	пловец
swing	[swıŋ]	1) качели; 2) качаться
